index,Age,Gender,Country,Formal_Education,Position,Years_Coding,Salary
4696,47.0,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,174999.5
4697,32.0,Female,Greece,Master’s degree,Software Engineer,5.0,22499.5
4698,32.0,Female,United States of America,Doctoral degree,Data Analyst,5.0,94999.5
4699,32.0,Male,United States of America,Master’s degree,Data Engineer,5.0,112499.5
4700,27.0,Female,United States of America,Master’s degree,Data Scientist,5.0,94999.5
4701,37.0,Male,Spain,Master’s degree,Data Analyst,10.0,34999.5
4702,32.0,Male,France,Doctoral degree,Research Scientist,5.0,54999.5
4703,32.0,Male,Israel,Bachelor’s degree,Data Scientist,5.0,112499.5
4704,52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10.0,224999.5
4705,23.0,Male,Brazil,Bachelor’s degree,Business Analyst,5.0,6249.5
4706,37.0,Male,Colombia,Doctoral degree,Data Scientist,20.0,17499.5
4707,32.0,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,174999.5
4708,47.0,Male,Japan,Some college/university study without earning a bachelor’s degree,Other,2.0,8749.5
4709,23.0,Male,India,Master’s degree,Business Analyst,10.0,8749.5
4710,32.0,Male,South Africa,Doctoral degree,Data Scientist,5.0,34999.5
4711,37.0,Male,China,Doctoral degree,Data Analyst,2.0,1499.5
4712,37.0,Male,Brazil,Master’s degree,Product/Project Manager,2.0,4499.5
4713,52.0,Male,United States of America,Master’s degree,Data Scientist,20.0,174999.5
4714,37.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,5.0,112499.5
4715,42.0,Male,United States of America,Master’s degree,Software Engineer,20.0,137499.5
4716,42.0,Male,Japan,Master’s degree,Data Scientist,5.0,64999.5
4717,42.0,Male,Indonesia,Doctoral degree,Research Scientist,10.0,1499.5
4718,27.0,Male,Sweden,Master’s degree,Software Engineer,5.0,44999.5
4719,23.0,Male,Poland,Bachelor’s degree,Data Analyst,5.0,22499.5
4720,19.5,Male,India,Bachelor’s degree,Data Analyst,5.0,8749.5
4721,32.0,Male,India,Master’s degree,Software Engineer,2.0,27499.5
4722,64.5,Male,Mexico,Professional degree,Software Engineer,0.0,54999.5
4723,42.0,Male,Argentina,Master’s degree,Data Scientist,20.0,22499.5
4724,47.0,Male,Belarus,Master’s degree,Software Engineer,5.0,34999.5
4725,32.0,Male,Brazil,Master’s degree,Software Engineer,20.0,34999.5
4726,32.0,Male,Spain,Doctoral degree,Research Scientist,5.0,34999.5
4727,23.0,Male,United States of America,Master’s degree,Data Scientist,2.0,112499.5
4728,52.0,Male,Kenya,Master’s degree,Other,2.0,12499.5
4729,23.0,Male,Russia,Master’s degree,Research Scientist,5.0,3499.5
4730,42.0,Male,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,20.0,12499.5
4731,27.0,Female,United States of America,Master’s degree,Data Analyst,5.0,112499.5
4732,32.0,Male,Other,Master’s degree,Data Analyst,2.0,74999.5
4733,52.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,174999.5
4734,32.0,Male,Chile,Master’s degree,Product/Project Manager,2.0,8749.5
4735,52.0,Male,Other,Professional degree,Research Scientist,20.0,44999.5
4736,27.0,Male,United States of America,Some college/university study without earning a bachelor’s degree,Other,10.0,224999.5
4737,42.0,Male,South Africa,Master’s degree,Statistician,20.0,94999.5
4738,42.0,Male,Other,Master’s degree,Other,0.0,54999.5
4739,32.0,Male,United States of America,Master’s degree,Data Analyst,2.0,84999.5
4740,27.0,Female,Netherlands,Doctoral degree,Research Scientist,10.0,34999.5
4741,57.0,Male,United States of America,Master’s degree,Other,2.0,400000.0
4742,37.0,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,5.0,54999.5
4743,32.0,Male,Brazil,Master’s degree,Business Analyst,2.0,34999.5
4744,57.0,Male,United States of America,Doctoral degree,Product/Project Manager,10.0,174999.5
4745,32.0,Female,New Zealand,Master’s degree,Data Scientist,5.0,112499.5
4746,32.0,Male,China,I prefer not to answer,Other,10.0,12499.5
4747,27.0,Male,Germany,Bachelor’s degree,Data Scientist,2.0,74999.5
4748,37.0,Male,Denmark,Master’s degree,Business Analyst,2.0,94999.5
4749,23.0,Male,India,Master’s degree,Data Analyst,2.0,27499.5
4750,32.0,Female,United States of America,Master’s degree,Data Scientist,5.0,94999.5
4751,37.0,Male,India,Master’s degree,Business Analyst,5.0,27499.5
4752,57.0,Male,Canada,Master’s degree,Product/Project Manager,10.0,137499.5
4753,32.0,Male,Other,Doctoral degree,Data Scientist,20.0,84999.5
4754,27.0,Male,United States of America,Master’s degree,Data Scientist,5.0,84999.5
4755,32.0,Male,Denmark,Master’s degree,Data Scientist,5.0,112499.5
4756,32.0,Male,Mexico,Master’s degree,Data Analyst,5.0,22499.5
4757,27.0,Female,France,Doctoral degree,Data Scientist,5.0,2499.5
4758,64.5,Male,United States of America,Master’s degree,Other,10.0,400000.0
4759,32.0,Female,Germany,Bachelor’s degree,Data Analyst,2.0,44999.5
4760,32.0,Male,Colombia,Bachelor’s degree,DBA/Database Engineer,5.0,34999.5
4761,27.0,Male,India,Bachelor’s degree,Data Scientist,2.0,6249.5
4762,27.0,Male,Switzerland,Doctoral degree,Research Scientist,5.0,84999.5
4763,57.0,Male,Japan,Master’s degree,Software Engineer,2.0,8749.5
4764,32.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,137499.5
4765,37.0,Male,Germany,Master’s degree,Other,5.0,54999.5
4766,37.0,Male,Other,Bachelor’s degree,Data Scientist,20.0,44999.5
4767,37.0,Male,Other,Master’s degree,Business Analyst,5.0,27499.5
4768,42.0,Male,Sweden,Doctoral degree,Research Scientist,20.0,54999.5
4769,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,10.0,112499.5
4770,37.0,Male,United States of America,Doctoral degree,Data Engineer,10.0,84999.5
4771,27.0,Male,India,Master’s degree,Software Engineer,2.0,2499.5
4772,32.0,Female,United States of America,Bachelor’s degree,Other,2.0,54999.5
4773,47.0,Male,Singapore,Master’s degree,Data Scientist,5.0,64999.5
4774,27.0,Male,United States of America,Master’s degree,Data Scientist,5.0,112499.5
4775,52.0,Male,United States of America,Doctoral degree,Research Scientist,5.0,112499.5
4776,27.0,Male,India,Master’s degree,Data Scientist,5.0,12499.5
4777,47.0,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,0.0,74999.5
4778,27.0,Female,United States of America,Master’s degree,Data Analyst,10.0,112499.5
4779,37.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,20.0,112499.5
4780,37.0,Male,India,Master’s degree,Research Scientist,10.0,17499.5
4781,27.0,Prefer not to say,Canada,Some college/university study without earning a bachelor’s degree,Software Engineer,2.0,112499.5
4782,32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,112499.5
4783,52.0,Male,Israel,Professional degree,Data Scientist,20.0,112499.5
4784,64.5,Male,United States of America,Doctoral degree,Other,5.0,112499.5
4785,27.0,Male,United States of America,Master’s degree,Business Analyst,10.0,174999.5
4786,32.0,Male,United States of America,Master’s degree,Research Scientist,10.0,137499.5
4787,57.0,Male,Mexico,Master’s degree,Product/Project Manager,2.0,27499.5
4788,32.0,Male,United States of America,Master’s degree,Data Scientist,2.0,174999.5
4789,32.0,Female,United States of America,Master’s degree,Data Scientist,10.0,112499.5
4790,27.0,Male,Germany,Master’s degree,Software Engineer,2.0,44999.5
4791,32.0,Male,Morocco,Master’s degree,Statistician,10.0,22499.5
4792,47.0,Male,Canada,Doctoral degree,Data Scientist,10.0,74999.5
4793,37.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,112499.5
4794,32.0,Male,Portugal,Master’s degree,Data Scientist,10.0,27499.5
4795,27.0,Male,Belgium,Master’s degree,Software Engineer,5.0,54999.5
4796,23.0,Male,United States of America,Master’s degree,Data Scientist,5.0,74999.5
4797,27.0,Male,Russia,Professional degree,Data Analyst,5.0,3499.5
4798,32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,74999.5
4799,37.0,Male,Ireland,Doctoral degree,Research Scientist,2.0,2499.5
4800,37.0,Male,United States of America,Master’s degree,Data Scientist,10.0,112499.5
4801,27.0,Female,France,Master’s degree,Data Scientist,2.0,8749.5
4802,32.0,Male,United States of America,Master’s degree,Product/Project Manager,10.0,174999.5
4803,37.0,Female,Germany,Doctoral degree,Data Scientist,5.0,74999.5
4804,23.0,Male,Other,Bachelor’s degree,Data Analyst,2.0,4499.5
4805,27.0,Male,Brazil,Bachelor’s degree,Software Engineer,5.0,2499.5
4806,37.0,Prefer not to say,Spain,Master’s degree,Software Engineer,2.0,27499.5
4807,27.0,Male,United States of America,Doctoral degree,Software Engineer,10.0,22499.5
4808,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,2.0,137499.5
4809,32.0,Male,India,Bachelor’s degree,Other,5.0,17499.5
4810,23.0,Male,United States of America,Bachelor’s degree,Data Engineer,2.0,137499.5
4811,52.0,Male,Brazil,Bachelor’s degree,Data Analyst,20.0,34999.5
4812,52.0,Male,United States of America,Some college/university study without earning a bachelor’s degree,Other,5.0,94999.5
4813,52.0,Male,France,Doctoral degree,Data Scientist,20.0,174999.5
4814,42.0,Male,United States of America,Master’s degree,Data Analyst,5.0,94999.5
4815,23.0,Male,Nigeria,Bachelor’s degree,Data Scientist,5.0,3499.5
4816,32.0,Male,India,Master’s degree,Data Scientist,5.0,1499.5
4817,32.0,Male,Russia,Doctoral degree,Software Engineer,2.0,2499.5
4818,32.0,Prefer not to say,Mexico,Master’s degree,Product/Project Manager,5.0,54999.5
4819,37.0,Female,France,Doctoral degree,Data Scientist,5.0,64999.5
4820,47.0,Female,Canada,Master’s degree,Product/Project Manager,0.0,64999.5
4821,42.0,Prefer not to say,Switzerland,Master’s degree,Software Engineer,20.0,137499.5
4822,37.0,Male,Algeria,I prefer not to answer,Other,0.0,6249.5
4823,52.0,Male,Italy,Master’s degree,Product/Project Manager,2.0,84999.5
4824,32.0,Male,Switzerland,Doctoral degree,Research Scientist,5.0,112499.5
4825,42.0,Male,Other,Doctoral degree,Research Scientist,20.0,112499.5
4826,32.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,224999.5
4827,23.0,Male,Other,Master’s degree,Data Analyst,0.0,2499.5
4828,47.0,Male,France,Master’s degree,Software Engineer,5.0,54999.5
4829,37.0,Female,Nigeria,Bachelor’s degree,Data Scientist,2.0,1499.5
4830,52.0,Male,Hungary,Bachelor’s degree,Software Engineer,2.0,12499.5
4831,23.0,Male,United States of America,Master’s degree,Data Scientist,2.0,84999.5
4832,37.0,Male,United States of America,Master’s degree,Data Analyst,5.0,274999.5
4833,42.0,Male,Morocco,Doctoral degree,Data Scientist,10.0,22499.5
4834,37.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,137499.5
4835,32.0,Female,Canada,Master’s degree,Data Analyst,5.0,74999.5
4836,32.0,Female,Switzerland,Master’s degree,Software Engineer,5.0,84999.5
4837,47.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,112499.5
4838,42.0,Female,United States of America,Doctoral degree,Data Scientist,20.0,94999.5
4839,52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,400000.0
4840,52.0,Male,Italy,Master’s degree,Software Engineer,20.0,34999.5
4841,27.0,Male,Italy,Professional degree,Product/Project Manager,5.0,54999.5
4842,27.0,Male,New Zealand,Bachelor’s degree,Data Scientist,5.0,54999.5
4843,47.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
4844,27.0,Female,United States of America,Master’s degree,Data Analyst,2.0,44999.5
4845,23.0,Male,Russia,Master’s degree,Software Engineer,2.0,27499.5
4846,37.0,Male,Norway,Master’s degree,Data Analyst,10.0,74999.5
4847,27.0,Male,United States of America,Master’s degree,Data Scientist,2.0,84999.5
4848,23.0,Male,Peru,Bachelor’s degree,Other,2.0,8749.5
4849,52.0,Male,Brazil,Master’s degree,Data Scientist,5.0,44999.5
4850,47.0,Female,United States of America,Master’s degree,Data Scientist,20.0,174999.5
4851,27.0,Female,United States of America,Master’s degree,Data Analyst,5.0,12499.5
4852,27.0,Male,United States of America,Master’s degree,Data Scientist,5.0,112499.5
4853,32.0,Male,United States of America,Master’s degree,Software Engineer,10.0,112499.5
4854,47.0,Male,Switzerland,Master’s degree,Statistician,20.0,84999.5
4855,32.0,Female,Egypt,Doctoral degree,Other,2.0,3499.5
4856,42.0,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,20.0,174999.5
4857,32.0,Male,India,Master’s degree,Data Engineer,10.0,22499.5
4858,27.0,Male,Australia,Master’s degree,Other,5.0,224999.5
4859,32.0,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,5.0,34999.5
4860,42.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,112499.5
4861,42.0,Male,Nigeria,Doctoral degree,Research Scientist,2.0,2499.5
4862,23.0,Male,Japan,Master’s degree,Statistician,2.0,3499.5
4863,47.0,Prefer not to say,United States of America,Master’s degree,Research Scientist,20.0,224999.5
4864,32.0,Male,Other,Doctoral degree,Research Scientist,5.0,22499.5
4865,57.0,Male,United States of America,Master’s degree,Product/Project Manager,20.0,174999.5
4866,32.0,Male,Canada,Bachelor’s degree,Product/Project Manager,10.0,112499.5
4867,27.0,Male,Brazil,Bachelor’s degree,Software Engineer,5.0,6249.5
4868,32.0,Male,Turkey,Doctoral degree,Product/Project Manager,10.0,17499.5
4869,37.0,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10.0,74999.5
4870,42.0,Male,United States of America,Doctoral degree,Research Scientist,2.0,94999.5
4871,52.0,Male,Canada,Bachelor’s degree,Software Engineer,20.0,137499.5
4872,32.0,Male,Russia,Master’s degree,Data Analyst,2.0,54999.5
4873,27.0,Female,United States of America,Master’s degree,Data Scientist,5.0,112499.5
4874,27.0,Male,France,Master’s degree,Data Scientist,5.0,54999.5
4875,37.0,Male,Russia,Some college/university study without earning a bachelor’s degree,Other,2.0,12499.5
4876,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,5.0,34999.5
4877,37.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10.0,112499.5
4878,27.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,112499.5
4879,37.0,Male,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5.0,74999.5
4880,27.0,Male,Canada,Master’s degree,Research Scientist,2.0,64999.5
4881,27.0,Female,United States of America,Master’s degree,Data Analyst,5.0,112499.5
4882,57.0,Male,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Software Engineer,2.0,112499.5
4883,32.0,Female,Australia,Doctoral degree,Research Scientist,5.0,74999.5
4884,37.0,Male,Australia,Master’s degree,Product/Project Manager,5.0,174999.5
4885,32.0,Male,Spain,Master’s degree,Data Scientist,5.0,34999.5
4886,52.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,84999.5
4887,32.0,Female,Brazil,Master’s degree,Data Scientist,5.0,27499.5
4888,27.0,Male,France,Master’s degree,Data Scientist,2.0,64999.5
4889,47.0,Male,Spain,Master’s degree,Research Scientist,10.0,44999.5
4890,42.0,Male,New Zealand,Master’s degree,Product/Project Manager,5.0,174999.5
4891,57.0,Male,Mexico,Master’s degree,Research Scientist,5.0,1499.5
4892,47.0,Female,United States of America,Some college/university study without earning a bachelor’s degree,Other,2.0,112499.5
4893,52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,224999.5
4894,47.0,Male,United States of America,Bachelor’s degree,Other,5.0,137499.5
4895,23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,12499.5
4896,32.0,Male,Ukraine,Doctoral degree,Research Scientist,10.0,84999.5
4897,32.0,Female,Brazil,Master’s degree,Other,2.0,3499.5
4898,27.0,Male,India,Master’s degree,Software Engineer,5.0,12499.5
4899,37.0,Male,Russia,Master’s degree,Other,10.0,22499.5
4900,32.0,Male,New Zealand,Master’s degree,Software Engineer,5.0,64999.5
4901,37.0,Female,United States of America,Doctoral degree,Data Scientist,2.0,112499.5
4902,23.0,Male,India,Master’s degree,Business Analyst,2.0,12499.5
4903,52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,20.0,54999.5
4904,42.0,Male,United States of America,Master’s degree,Data Scientist,10.0,112499.5
4905,47.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,10.0,64999.5
4906,32.0,Female,Brazil,Master’s degree,Software Engineer,5.0,12499.5
4907,64.5,Male,Poland,Master’s degree,Other,2.0,12499.5
4908,42.0,Male,France,I prefer not to answer,Research Scientist,5.0,44999.5
4909,32.0,Male,Other,Doctoral degree,Research Scientist,5.0,22499.5
4910,37.0,Female,Peru,Doctoral degree,DBA/Database Engineer,2.0,2499.5
4911,47.0,Male,Australia,Doctoral degree,Research Scientist,5.0,74999.5
4912,32.0,Male,Germany,Master’s degree,Data Scientist,5.0,44999.5
4913,32.0,Male,Egypt,Doctoral degree,Other,2.0,34999.5
4914,32.0,Male,India,Professional degree,Software Engineer,2.0,12499.5
4915,27.0,Male,Brazil,Master’s degree,Data Scientist,10.0,54999.5
4916,37.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10.0,94999.5
4917,57.0,Female,United States of America,Master’s degree,Data Analyst,2.0,137499.5
4918,27.0,Female,United States of America,Bachelor’s degree,Data Scientist,5.0,112499.5
4919,42.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
4920,23.0,Male,United States of America,Master’s degree,Research Scientist,2.0,12499.5
4921,27.0,Male,France,Master’s degree,Data Scientist,10.0,54999.5
4922,27.0,Male,Germany,Master’s degree,Data Scientist,10.0,84999.5
4923,42.0,Female,Other,Bachelor’s degree,Data Analyst,20.0,12499.5
4924,42.0,Male,Japan,Master’s degree,Software Engineer,2.0,224999.5
4925,37.0,Male,Chile,Master’s degree,Statistician,2.0,1499.5
4926,42.0,Male,Norway,Master’s degree,Data Scientist,20.0,112499.5
4927,27.0,Male,Russia,Doctoral degree,Research Scientist,5.0,8749.5
4928,27.0,Male,United States of America,Master’s degree,Data Scientist,10.0,64999.5
4929,27.0,Female,Sweden,Master’s degree,Data Scientist,2.0,6249.5
4930,52.0,Male,Brazil,Master’s degree,Data Scientist,2.0,1499.5
4931,42.0,Male,United States of America,Master’s degree,Other,5.0,64999.5
4932,42.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,44999.5
4933,47.0,Male,United States of America,Bachelor’s degree,Data Scientist,5.0,274999.5
4934,23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,8749.5
4935,64.5,Male,United States of America,Master’s degree,Data Engineer,10.0,112499.5
4936,64.5,Male,United States of America,Doctoral degree,Research Scientist,2.0,74999.5
4937,42.0,Male,Australia,Master’s degree,Data Analyst,20.0,64999.5
4938,27.0,Male,Brazil,Master’s degree,Statistician,10.0,34999.5
4939,27.0,Male,United States of America,Master’s degree,Data Scientist,2.0,94999.5
4940,23.0,Male,Canada,Bachelor’s degree,Data Scientist,2.0,54999.5
4941,37.0,Male,United States of America,Master’s degree,Data Analyst,5.0,54999.5
4942,32.0,Male,Nigeria,Bachelor’s degree,Data Engineer,5.0,12499.5
4943,47.0,Male,Australia,No formal education past high school,Business Analyst,0.0,84999.5
4944,32.0,Male,Netherlands,Master’s degree,Data Scientist,20.0,94999.5
4945,42.0,Female,United States of America,Master’s degree,Other,5.0,74999.5
4946,37.0,Male,Canada,Master’s degree,Software Engineer,2.0,64999.5
4947,37.0,Male,Argentina,Doctoral degree,Data Scientist,10.0,34999.5
4948,42.0,Male,United States of America,Master’s degree,Other,2.0,137499.5
4949,23.0,Male,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,2.0,8749.5
4950,37.0,Male,Morocco,Bachelor’s degree,Data Engineer,2.0,54999.5
4951,52.0,Female,Portugal,Doctoral degree,Other,20.0,27499.5
4952,32.0,Male,Spain,Master’s degree,Data Analyst,2.0,27499.5
4953,64.5,Male,Spain,Master’s degree,Data Scientist,10.0,44999.5
4954,64.5,Male,Australia,Master’s degree,Data Scientist,20.0,137499.5
4955,37.0,Female,Thailand,Master’s degree,Data Engineer,20.0,94999.5
4956,27.0,Male,Ukraine,Master’s degree,Software Engineer,10.0,17499.5
4957,32.0,Male,Brazil,Bachelor’s degree,Software Engineer,5.0,64999.5
4958,64.5,Male,United States of America,Master’s degree,Data Scientist,20.0,174999.5
4959,37.0,Male,United States of America,Master’s degree,Data Analyst,5.0,112499.5
4960,37.0,Male,Japan,Master’s degree,Other,5.0,54999.5
4961,32.0,Female,United States of America,Master’s degree,Data Scientist,20.0,174999.5
4962,32.0,Male,Italy,Master’s degree,Data Scientist,10.0,84999.5
4963,47.0,Male,United States of America,Master’s degree,Data Scientist,2.0,137499.5
4964,37.0,Male,Mexico,Master’s degree,Statistician,5.0,22499.5
4965,37.0,Male,Japan,Doctoral degree,Data Scientist,5.0,137499.5
4966,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,5.0,174999.5
4967,42.0,Male,United States of America,Master’s degree,Data Scientist,10.0,174999.5
4968,27.0,Female,Sweden,Bachelor’s degree,Data Analyst,5.0,27499.5
4969,32.0,Male,Brazil,Bachelor’s degree,Other,5.0,54999.5
4970,42.0,Female,United States of America,Master’s degree,Data Analyst,2.0,74999.5
4971,27.0,Male,India,Master’s degree,Data Scientist,5.0,27499.5
4972,64.5,Male,Other,Bachelor’s degree,Software Engineer,2.0,44999.5
4973,64.5,Male,Australia,Master’s degree,Data Analyst,20.0,84999.5
4974,27.0,Male,France,Professional degree,Data Scientist,2.0,54999.5
4975,42.0,Male,United States of America,No formal education past high school,Product/Project Manager,20.0,174999.5
4976,52.0,Male,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,20.0,137499.5
4977,27.0,Female,Other,Master’s degree,Data Scientist,10.0,54999.5
4978,37.0,Male,Germany,Master’s degree,Software Engineer,2.0,54999.5
4979,64.5,Male,United States of America,Doctoral degree,Research Scientist,20.0,112499.5
4980,32.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,94999.5
4981,32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,74999.5
4982,32.0,Male,Australia,Master’s degree,Business Analyst,0.0,94999.5
4983,57.0,Male,United States of America,Master’s degree,Data Scientist,20.0,174999.5
4984,37.0,Male,Australia,Master’s degree,Data Scientist,5.0,174999.5
4985,32.0,Male,Norway,Master’s degree,Data Scientist,5.0,174999.5
4986,32.0,Male,Spain,Doctoral degree,Research Scientist,10.0,34999.5
4987,32.0,Female,Egypt,Bachelor’s degree,Software Engineer,10.0,17499.5
4988,42.0,Male,Australia,Bachelor’s degree,Data Scientist,20.0,224999.5
4989,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,10.0,64999.5
4990,37.0,Male,United States of America,Master’s degree,Data Scientist,5.0,112499.5
4991,47.0,Male,South Korea,Bachelor’s degree,Product/Project Manager,20.0,84999.5
4992,42.0,Male,Australia,Bachelor’s degree,Data Analyst,0.0,112499.5
4993,27.0,Male,Colombia,Master’s degree,Data Scientist,10.0,44999.5
4994,27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,2.0,44999.5
4995,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,5.0,112499.5
4996,42.0,Male,United States of America,Master’s degree,Data Engineer,20.0,174999.5
4997,47.0,Male,India,Master’s degree,Software Engineer,2.0,34999.5
4998,47.0,Female,Spain,Master’s degree,Product/Project Manager,20.0,74999.5
4999,37.0,Male,United States of America,Master’s degree,Other,10.0,174999.5
5000,42.0,Female,United States of America,Master’s degree,Data Scientist,20.0,174999.5
5001,52.0,Male,Spain,Doctoral degree,Data Engineer,20.0,84999.5
5002,32.0,Male,Australia,Master’s degree,Other,5.0,74999.5
5003,32.0,Male,India,Doctoral degree,Software Engineer,10.0,22499.5
5004,32.0,Male,Turkey,Doctoral degree,Data Scientist,10.0,8749.5
5005,42.0,Male,Australia,Some college/university study without earning a bachelor’s degree,Data Scientist,20.0,137499.5
5006,42.0,Female,Brazil,I prefer not to answer,Data Scientist,20.0,22499.5
5007,52.0,Female,United States of America,Bachelor’s degree,Product/Project Manager,0.0,174999.5
5008,23.0,Male,Japan,Bachelor’s degree,Data Scientist,2.0,1499.5
5009,57.0,Female,United States of America,Master’s degree,Data Scientist,10.0,112499.5
5010,42.0,Male,United States of America,Master’s degree,Data Scientist,5.0,174999.5
5011,27.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,44999.5
5012,27.0,Male,Canada,Doctoral degree,Research Scientist,10.0,54999.5
5013,47.0,Female,United States of America,Master’s degree,Other,0.0,84999.5
5014,27.0,Female,Australia,Master’s degree,Other,10.0,74999.5
5015,27.0,Male,Singapore,Doctoral degree,Other,10.0,22499.5
5016,42.0,Male,Australia,Master’s degree,DBA/Database Engineer,20.0,137499.5
5017,42.0,Male,United States of America,Master’s degree,Software Engineer,20.0,174999.5
5018,52.0,Female,Japan,Doctoral degree,Research Scientist,20.0,84999.5
5019,27.0,Male,South Korea,Master’s degree,Data Scientist,5.0,3499.5
5020,64.5,Male,United States of America,Doctoral degree,Research Scientist,20.0,174999.5
5021,27.0,Female,United States of America,Doctoral degree,Research Scientist,10.0,54999.5
5022,32.0,Male,Czech Republic,Master’s degree,Software Engineer,5.0,54999.5
5023,57.0,Male,Malaysia,Bachelor’s degree,Data Analyst,2.0,12499.5
5024,32.0,Male,India,Master’s degree,Data Analyst,5.0,22499.5
5025,42.0,Male,Australia,Bachelor’s degree,Software Engineer,10.0,112499.5
5026,27.0,Male,India,Bachelor’s degree,Business Analyst,5.0,27499.5
5027,57.0,Male,India,Master’s degree,Business Analyst,2.0,34999.5
5028,37.0,Male,United States of America,Master’s degree,Other,2.0,84999.5
5029,27.0,Male,Canada,Master’s degree,Data Scientist,5.0,22499.5
5030,42.0,Male,Japan,Master’s degree,Other,2.0,64999.5
5031,52.0,Female,Portugal,Doctoral degree,Data Analyst,5.0,2499.5
5032,32.0,Male,Portugal,Master’s degree,Software Engineer,2.0,1499.5
5033,57.0,Male,Japan,Doctoral degree,Research Scientist,20.0,112499.5
5034,27.0,Female,United States of America,Master’s degree,Research Scientist,2.0,6249.5
5035,23.0,Male,Brazil,Master’s degree,Data Scientist,2.0,17499.5
5036,27.0,Male,Canada,Master’s degree,Data Scientist,5.0,64999.5
5037,52.0,Male,Brazil,Bachelor’s degree,Other,0.0,2499.5
5038,32.0,Male,India,Bachelor’s degree,Software Engineer,5.0,3499.5
5039,32.0,Male,Peru,Master’s degree,Data Scientist,5.0,34999.5
5040,42.0,Male,Taiwan,Doctoral degree,Data Scientist,5.0,44999.5
5041,47.0,Male,United States of America,Doctoral degree,Other,20.0,174999.5
5042,57.0,Male,Poland,Master’s degree,Software Engineer,2.0,44999.5
5043,37.0,Male,United States of America,Master’s degree,Product/Project Manager,20.0,174999.5
5044,37.0,Female,United States of America,Master’s degree,Data Analyst,10.0,137499.5
5045,47.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,10.0,54999.5
5046,47.0,Male,United States of America,Master’s degree,Other,0.0,274999.5
5047,42.0,Male,Australia,Bachelor’s degree,Software Engineer,2.0,112499.5
5048,57.0,Male,United States of America,Doctoral degree,Other,2.0,112499.5
5049,32.0,Male,United States of America,Master’s degree,Data Scientist,10.0,112499.5
5050,42.0,Male,Singapore,Master’s degree,Data Scientist,5.0,34999.5
5051,32.0,Male,Ireland,Master’s degree,Data Scientist,5.0,74999.5
5052,37.0,Male,Taiwan,Professional degree,Research Scientist,10.0,44999.5
